id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
books/2025/jan/06/what-were-reading-writers-and-readers-on-the-books-they-enjoyed-in-december,article,books,Books,2025-01-06T15:54:05Z,What we’re reading: writers and readers on the books they enjoyed in December,https://www.theguardian.com/books/2025/jan/06/what-were-reading-writers-and-readers-on-the-books-they-enjoyed-in-december,https://content.guardianapis.com/books/2025/jan/06/what-were-reading-writers-and-readers-on-the-books-they-enjoyed-in-december,False,pillar/arts,Arts
world/2025/mar/09/caribbean-africa-music-exchange,article,world,World news,2025-03-09T10:00:51Z,‘We are one people’: Soca stars including Machel Montano highlight Caribbean’s connection to Africa,https://www.theguardian.com/world/2025/mar/09/caribbean-africa-music-exchange,https://content.guardianapis.com/world/2025/mar/09/caribbean-africa-music-exchange,False,pillar/news,News
global-development/2025/jan/06/uk-cuts-health-aid-vulnerable-countries-recruiting-nurses-analysis-royal-college-nursing-research,article,global-development,Global development,2025-01-06T13:22:38Z,"UK cut health aid to vulnerable nations while hiring their nurses, research finds",https://www.theguardian.com/global-development/2025/jan/06/uk-cuts-health-aid-vulnerable-countries-recruiting-nurses-analysis-royal-college-nursing-research,https://content.guardianapis.com/global-development/2025/jan/06/uk-cuts-health-aid-vulnerable-countries-recruiting-nurses-analysis-royal-college-nursing-research,False,pillar/news,News
science/2025/mar/16/rocks-and-racism-how-geologists-created-and-perpetuated-a-narrative-of-prejudice,article,science,Science,2025-03-16T08:00:14Z,Rocks and racism? How geologists created and perpetuated a narrative of prejudice ,https://www.theguardian.com/science/2025/mar/16/rocks-and-racism-how-geologists-created-and-perpetuated-a-narrative-of-prejudice,https://content.guardianapis.com/science/2025/mar/16/rocks-and-racism-how-geologists-created-and-perpetuated-a-narrative-of-prejudice,False,pillar/news,News
world/2025/feb/19/ecuador-guayaquil-mural,article,world,World news,2025-02-19T11:30:30Z,‘Society makes us invisible’: Black Ecuadorians fight to defend their culture,https://www.theguardian.com/world/2025/feb/19/ecuador-guayaquil-mural,https://content.guardianapis.com/world/2025/feb/19/ecuador-guayaquil-mural,False,pillar/news,News
uk-news/2025/feb/11/migrant-workers-in-uk-to-fill-care-roles-charged-up-to-20000-in-fees,article,uk-news,UK news,2025-02-11T00:01:02Z,"Migrant workers in UK to fill care roles ‘charged up to £20,000’ in illegal fees",https://www.theguardian.com/uk-news/2025/feb/11/migrant-workers-in-uk-to-fill-care-roles-charged-up-to-20000-in-fees,https://content.guardianapis.com/uk-news/2025/feb/11/migrant-workers-in-uk-to-fill-care-roles-charged-up-to-20000-in-fees,False,pillar/news,News
global-development/2025/feb/24/female-african-artists-women-art-market-auction,article,global-development,Global development,2025-02-24T12:00:56Z,‘No longer on the margins’: how women are outperforming men in Africa’s art market,https://www.theguardian.com/global-development/2025/feb/24/female-african-artists-women-art-market-auction,https://content.guardianapis.com/global-development/2025/feb/24/female-african-artists-women-art-market-auction,False,pillar/news,News
world/2025/jan/12/return-looted-shipwreck-treasures-to-countries-of-origin-as-reparations-for-slavery-says-lawyer,article,world,World news,2025-01-12T12:00:31Z,"Return looted shipwreck treasures to countries of origin as reparations for slavery, says lawyer",https://www.theguardian.com/world/2025/jan/12/return-looted-shipwreck-treasures-to-countries-of-origin-as-reparations-for-slavery-says-lawyer,https://content.guardianapis.com/world/2025/jan/12/return-looted-shipwreck-treasures-to-countries-of-origin-as-reparations-for-slavery-says-lawyer,False,pillar/news,News
music/2025/mar/07/roy-ayers-obituary,article,music,Music,2025-03-07T15:27:52Z,Roy Ayers obituary,https://www.theguardian.com/music/2025/mar/07/roy-ayers-obituary,https://content.guardianapis.com/music/2025/mar/07/roy-ayers-obituary,False,pillar/arts,Arts
news/2025/jan/20/wealth-of-worlds-billionaires-grew-by-2tn-in-2024-report-finds,article,news,News,2025-01-20T08:36:23Z,"Wealth of world’s billionaires grew by $2tn in 2024, report finds",https://www.theguardian.com/news/2025/jan/20/wealth-of-worlds-billionaires-grew-by-2tn-in-2024-report-finds,https://content.guardianapis.com/news/2025/jan/20/wealth-of-worlds-billionaires-grew-by-2tn-in-2024-report-finds,False,pillar/news,News
environment/2025/jan/22/putricia-for-president-sydneys-blooming-corpse-flower-becomes-a-cult-hero-to-those-who-cant-smell-her,article,environment,Environment,2025-01-22T08:05:03Z,‘Putricia for president’: Sydney’s blooming corpse flower becomes a cult hero – to those who can’t smell her,https://www.theguardian.com/environment/2025/jan/22/putricia-for-president-sydneys-blooming-corpse-flower-becomes-a-cult-hero-to-those-who-cant-smell-her,https://content.guardianapis.com/environment/2025/jan/22/putricia-for-president-sydneys-blooming-corpse-flower-becomes-a-cult-hero-to-those-who-cant-smell-her,False,pillar/news,News
us-news/2025/feb/04/what-is-usaid-donald-trump-elon-musk-foreign-aid-freezes,article,us-news,US news,2025-02-04T02:02:20Z,What is USAid and why does Trump dislike it so much?,https://www.theguardian.com/us-news/2025/feb/04/what-is-usaid-donald-trump-elon-musk-foreign-aid-freezes,https://content.guardianapis.com/us-news/2025/feb/04/what-is-usaid-donald-trump-elon-musk-foreign-aid-freezes,False,pillar/news,News
music/2025/feb/06/olly-alexander-polari-review-hi-nrg-throwback-for-the-radio-2-crowd,article,music,Music,2025-02-06T12:00:49Z,Olly Alexander: Polari review | Alexis Petridis's album of the week,https://www.theguardian.com/music/2025/feb/06/olly-alexander-polari-review-hi-nrg-throwback-for-the-radio-2-crowd,https://content.guardianapis.com/music/2025/feb/06/olly-alexander-polari-review-hi-nrg-throwback-for-the-radio-2-crowd,False,pillar/arts,Arts
